date, pm25, pm10, o3, no2, so2, co
2019/12/18, 119, 81, 23, 13, 6, 17
2019/12/19, 141, 90, 24, 14, 5, 18
2019/12/20, 148, 76, 24, 11, 4, 9
2019/12/21, 142, 71, 33, 10, 5, 9
2019/12/22, 145, 89, 16, 14, 5, 10
2019/12/23, 149, 85, 20, 12, 5, 10
2019/12/24, 149, 90, 22, 10, 5, 6
2019/12/25, 161, 89, 19, 13, 5, 10
2019/12/26, 142, 86, 11, 14, 7, 11
2019/12/27, 127, 99, 15, 16, 7, 11
2019/12/28, 139, 97, 18, 15, 5, 8
2019/12/29, 146, , , , , 
2019/7/1, 103, 53, 17, 7, 2, 8
2019/7/2, 110, 53, 20, 6, 3, 6
2019/7/3, 97, 53, 14, 5, 2, 11
2019/7/4, 87, 64, 14, 5, 2, 11
2019/7/5, 106, 86, 12, 5, 2, 9
2019/7/6, 116, 69, 15, 5, 2, 8
2019/7/7, 101, , , , , 
2019/7/11, 101, 76, 13, 6, 3, 8
2019/7/12, 94, 74, 13, 4, 2, 10
2019/7/13, 97, 85, 13, 4, 2, 7
2019/7/14, 103, 88, 11, 4, 2, 8
2019/7/15, 112, 74, 11, 4, 2, 7
2019/7/16, 102, 61, 13, 4, 2, 9
2019/7/17, 93, 60, 13, 2, 2, 8
2019/7/18, 100, 60, 16, 2, 2, 9
2019/7/19, 104, 54, 14, 2, 2, 8
2019/7/20, 106, 57, 21, 1, 3, 8
2019/7/21, 113, 53, 16, 2, 3, 12
2019/7/22, 103, 54, 14, 4, 2, 9
2019/7/23, 99, 45, 15, 5, 2, 8
2019/7/24, 93, 48, 12, 6, 2, 8
2019/7/25, 86, 52, 10, 6, 2, 6
2019/7/26, 78, 59, 10, 6, 2, 6
2019/7/27, 100, 39, 14, 7, 2, 7
2019/7/28, 72, 49, 8, 6, 2, 7
2019/7/29, 82, 39, 21, 5, 2, 7
2019/7/30, 64, 30, 25, 5, 3, 6
2019/7/31, 64, 45, 22, 4, 2, 7
2019/8/1, 72, 63, 23, 4, 2, 8
2019/8/2, 82, 60, 23, 5, 3, 9
2019/8/3, 91, 69, 23, 6, 2, 5
